0.001, 1
0.002, 0.999998
0.003, 0.999994
0.004, 0.999988
0.005, 0.99998
0.006, 0.99997
0.007, 0.999958
0.008, 0.999944
0.009, 0.999928
0.01, 0.99991
0.011, 0.99989
0.012, 0.999868
0.013, 0.999844
0.014, 0.999818
0.015, 0.99979
0.016, 0.99976
0.017, 0.999728
0.018, 0.999694
0.019, 0.999658
0.02, 0.99962
0.021, 0.99958
0.022, 0.999538
0.023, 0.999494
0.024, 0.999448
0.025, 0.9994
0.026, 0.99935
0.027, 0.999298
0.028, 0.999244
0.029, 0.999188
0.03, 0.99913
0.031, 0.99907
0.032, 0.999008
0.033, 0.998944
0.034, 0.998878
0.035, 0.99881
0.036, 0.99874
0.037, 0.998668
0.038, 0.998594
0.039, 0.998518
0.04, 0.99844
0.041, 0.99836
0.042, 0.998278
0.043, 0.998194
0.044, 0.998109
0.045, 0.998021
0.046, 0.997931
0.047, 0.997839
0.048, 0.997745
0.049, 0.997649
0.05, 0.997551
0.051, 0.997451
0.052, 0.997349
0.053, 0.997245
0.054, 0.997139
0.055, 0.997031
0.056, 0.996921
0.057, 0.99681
0.058, 0.996696
0.059, 0.99658
0.06, 0.996462
0.061, 0.996342
0.062, 0.99622
0.063, 0.996096
0.064, 0.995971
0.065, 0.995843
0.066, 0.995713
0.067, 0.995581
0.068, 0.995447
0.069, 0.995311
0.07, 0.995174
0.071, 0.995034
0.072, 0.994892
0.073, 0.994748
0.074, 0.994603
0.075, 0.994455
0.076, 0.994305
0.077, 0.994153
0.078, 0.994
0.079, 0.993844
0.08, 0.993686
0.081, 0.993527
0.082, 0.993365
0.083, 0.993201
0.084, 0.993036
0.085, 0.992868
0.086, 0.992698
0.087, 0.992527
0.088, 0.992353
0.089, 0.992178
0.09, 0.992
0.091, 0.991821
0.092, 0.991639
0.093, 0.991456
0.094, 0.99127
0.095, 0.991083
0.096, 0.990893
0.097, 0.990702
0.098, 0.990508
0.099, 0.990313
0.1, 0.990116
0.101, 0.989916
0.102, 0.989715
0.103, 0.989512
0.104, 0.989306
0.105, 0.989099
0.106, 0.98889
0.107, 0.988679
0.108, 0.988465
0.109, 0.98825
0.11, 0.988033
0.111, 0.987814
0.112, 0.987593
0.113, 0.98737
0.114, 0.987145
0.115, 0.986918
0.116, 0.986689
0.117, 0.986458
0.118, 0.986225
0.119, 0.98599
0.12, 0.985753
0.121, 0.985514
0.122, 0.985273
0.123, 0.98503
0.124, 0.984785
0.125, 0.984539
0.126, 0.98429
0.127, 0.984039
0.128, 0.983787
0.129, 0.983532
0.13, 0.983275
0.131, 0.983017
0.132, 0.982756
0.133, 0.982494
0.134, 0.982229
0.135, 0.981963
0.136, 0.981694
0.137, 0.981424
0.138, 0.981152
0.139, 0.980877
0.14, 0.980601
0.141, 0.980323
0.142, 0.980043
0.143, 0.979761
0.144, 0.979477
0.145, 0.979191
0.146, 0.978903
0.147, 0.978613
0.148, 0.978321
0.149, 0.978027
0.15, 0.977731
0.151, 0.977433
0.152, 0.977133
0.153, 0.976832
0.154, 0.976528
0.155, 0.976222
0.156, 0.975915
0.157, 0.975605
0.158, 0.975294
0.159, 0.97498
0.16, 0.974665
0.161, 0.974348
0.162, 0.974028
0.163, 0.973707
0.164, 0.973384
0.165, 0.973059
0.166, 0.972732
0.167, 0.972403
0.168, 0.972072
0.169, 0.971739
0.17, 0.971404
0.171, 0.971067
0.172, 0.970729
0.173, 0.970388
0.174, 0.970045
0.175, 0.969701
0.176, 0.969354
0.177, 0.969006
0.178, 0.968655
0.179, 0.968303
0.18, 0.967949
0.181, 0.967593
0.182, 0.967235
0.183, 0.966874
